transcript_id,10-100,10-D,8-100,8-D,9-100,9-D
Prupe.2G003500.1_v2.0.a1,1,0,0,0,1,0
Prupe.6G168600.8_v2.0.a1,0,0,0,0,0,0
Prupe.1G068900.1_v2.0.a1,0,0,0,0,0,0
MSTRG.14005.3,0,58,122,0,103,0
Prupe.8G189100.2_v2.0.a1,34,0,0,0,0,0
Prupe.4G233900.1_v2.0.a1,2,2,2,7,0,5
Prupe.2G194000.1_v2.0.a1,0,405,0,514,0,306
Prupe.3G173900.2_v2.0.a1,313,0,380,0,21,0
Prupe.7G259900.1_v2.0.a1,13,7,17,8,10,24
Prupe.1G013800.1_v2.0.a1,37,13,37,13,26,7
Prupe.1G479500.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G101200.1_v2.0.a1,61,31,73,37,72,31
Prupe.1G234000.3_v2.0.a1,0,4,0,3,4,2
Prupe.5G165800.3_v2.0.a1,453,21,282,0,227,0
Prupe.1G518400.2_v2.0.a1,93,14,27,18,34,131
Prupe.3G105400.1_v2.0.a1,0,0,0,0,0,0
Prupe.2G079100.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G382400.5_v2.0.a1,0,0,0,0,0,0
Prupe.1G100000.4_v2.0.a1,0,0,0,0,0,0
Prupe.1G547200.10_v2.0.a1,0,0,0,0,0,0
Prupe.2G065000.1_v2.0.a1,0,0,0,0,0,1
MSTRG.18250.2,329,210,732,0,0,0
Prupe.5G216000.1_v2.0.a1,0,0,0,0,0,0
Prupe.2G003800.2_v2.0.a1,83,122,69,133,35,103
Prupe.1G238500.1_v2.0.a1,0,104,0,120,0,85
Prupe.5G036400.1_v2.0.a1,1,298,1,331,1,203
Prupe.2G231600.8_v2.0.a1,0,0,0,0,32,0
Prupe.2G144400.3_v2.0.a1,352,0,249,0,77,0
MSTRG.3188.4,119,42,10,15,46,3
Prupe.1G347400.4_v2.0.a1,0,0,0,0,0,0
MSTRG.15240.6,78,242,17,5,5,131
Prupe.2G265500.11_v2.0.a1,0,0,0,0,0,0
MSTRG.15240.8,26,0,10,0,0,0
Prupe.7G160200.1_v2.0.a1,0,7,0,9,0,1
MSTRG.10001.4,613,445,722,476,521,14
Prupe.1G058400.1_v2.0.a1,2,0,0,1,1,1
Prupe.6G316500.4_v2.0.a1,242,202,471,133,276,0
Prupe.2G040100.1_v2.0.a1,265,339,308,315,233,255
Prupe.3G157000.1_v2.0.a1,520,184,510,49,888,205
Prupe.1G105300.1_v2.0.a1,16,25,0,30,0,0
Prupe.5G158500.1_v2.0.a1,19,0,161,34,0,6
MSTRG.9272.1,0,986,0,906,0,1813
Prupe.3G094500.2_v2.0.a1,0,0,0,0,0,0
MSTRG.9272.3,0,0,1,293,10,0
MSTRG.9272.2,0,0,0,324,0,0
Prupe.3G003900.2_v2.0.a1,846,462,1030,405,701,0
MSTRG.13550.3,224,39,225,41,90,18
Prupe.2G189600.20_v2.0.a1,0,0,0,0,0,0
Prupe.3G106900.1_v2.0.a1,212,92,218,124,139,97
Prupe.4G091800.1_v2.0.a1,680,877,274,588,517,289
Prupe.6G040800.12_v2.0.a1,0,0,0,0,0,0
Prupe.1G571800.1_v2.0.a1,0,0,0,0,0,0
Prupe.5G009200.10_v2.0.a1,0,50,0,45,0,0
Prupe.8G207500.2_v2.0.a1,0,0,0,0,0,0
MSTRG.2588.1,100,73,104,87,74,40
Prupe.2G210800.1_v2.0.a1,1,0,1,2,2,3
Prupe.5G171700.2_v2.0.a1,278,86,230,41,136,38
Prupe.1G374400.1_v2.0.a1,228,647,183,530,129,550
Prupe.3G077800.3_v2.0.a1,0,0,0,1,1,0
Prupe.6G304400.2_v2.0.a1,137,75,58,146,112,98
Prupe.6G223100.1_v2.0.a1,249,312,230,542,145,329
Prupe.6G225600.2_v2.0.a1,0,24,0,0,0,0
Prupe.6G050400.1_v2.0.a1,34,0,39,4,20,2
Prupe.2G251800.1_v2.0.a1,269,89,369,91,269,47
Prupe.1G134300.1_v2.0.a1,28,61,36,49,33,47
Prupe.7G005000.5_v2.0.a1,0,13,8,3,0,0
Prupe.5G123200.1_v2.0.a1,5480,966,6975,1393,6320,828
Prupe.3G096700.1_v2.0.a1,12,7,10,8,11,10
MSTRG.16084.7,2,2,2,0,2,0
MSTRG.16084.5,110,19,102,31,189,136
Prupe.1G559700.4_v2.0.a1,13,28,17,17,18,3
MSTRG.16084.2,47,137,320,198,99,37
MSTRG.18082.3,245,277,423,265,397,237
Prupe.8G214900.1_v2.0.a1,7,8,9,10,0,5
Prupe.4G281500.9_v2.0.a1,0,0,0,0,0,0
MSTRG.3476.1,96,18,67,118,45,0
Prupe.2G286600.1_v2.0.a1,3,33,3,39,2,36
Prupe.8G059400.1_v2.0.a1,38,49,36,65,14,27
Prupe.3G156600.1_v2.0.a1,12,11,9,11,8,7
Prupe.1G512600.1_v2.0.a1,7,14,14,11,7,10
Prupe.6G033300.2_v2.0.a1,0,0,101,18,0,0
Prupe.7G125400.1_v2.0.a1,12,9,17,7,7,14
Prupe.1G523600.1_v2.0.a1,604,3544,365,3605,319,3598
Prupe.6G137000.2_v2.0.a1,0,0,0,0,0,0
Prupe.6G291500.1_v2.0.a1,7,6,5,4,5,4
Prupe.3G211600.2_v2.0.a1,0,0,0,0,0,0
Prupe.2G262700.5_v2.0.a1,33,44,213,20,153,29
Prupe.7G115200.1_v2.0.a1,52,151,66,117,73,96
Prupe.8G172700.1_v2.0.a1,0,43,28,80,0,82
Prupe.2G260600.1_v2.0.a1,158,107,85,148,64,91
Prupe.1G094200.4_v2.0.a1,0,0,0,0,0,0
Prupe.2G029800.2_v2.0.a1,0,0,0,0,0,0
Prupe.2G044000.2_v2.0.a1,0,0,0,0,0,0
Prupe.1G004300.1_v2.0.a1,0,0,0,0,0,0
Prupe.4G072800.1_v2.0.a1,0,0,0,16,0,0
Prupe.3G256700.1_v2.0.a1,526,340,622,349,475,283
Prupe.6G326200.2_v2.0.a1,0,0,0,0,0,0
Prupe.1G332300.5_v2.0.a1,0,0,0,0,0,0
Prupe.8G059100.1_v2.0.a1,1,2,1,0,0,0
Prupe.4G051800.2_v2.0.a1,41,8,42,5,36,15
Prupe.2G127100.1_v2.0.a1,19,10,3,4,5,13
MSTRG.11658.5,0,0,0,0,146,0
Prupe.7G209300.2_v2.0.a1,0,0,0,0,0,0
Prupe.6G010000.1_v2.0.a1,169,140,153,184,62,0
Prupe.4G028100.2_v2.0.a1,0,7,0,11,3,7
Prupe.8G228100.3_v2.0.a1,0,0,0,0,0,0
Prupe.6G181400.4_v2.0.a1,0,0,0,0,0,0
Prupe.7G116900.1_v2.0.a1,248,236,286,315,112,263
Prupe.8G049600.3_v2.0.a1,271,0,180,0,0,0
MSTRG.16758.1,6,17,5,18,3,15
Prupe.6G220900.1_v2.0.a1,356,130,348,124,144,88
Prupe.6G099500.3_v2.0.a1,0,0,0,0,0,0
Prupe.7G075600.1_v2.0.a1,2,9,1,5,0,4
Prupe.2G247900.3_v2.0.a1,11,11,3,2,0,19
Prupe.1G011300.2_v2.0.a1,0,0,0,0,0,0
Prupe.4G084400.1_v2.0.a1,255,230,286,330,220,233
Prupe.3G304900.1_v2.0.a1,0,0,0,0,0,0
Prupe.6G316000.1_v2.0.a1,43,0,50,0,21,0
Prupe.6G138900.1_v2.0.a1,96,90,104,78,80,53
Prupe.3G293400.4_v2.0.a1,296,604,301,636,316,386
Prupe.1G260200.1_v2.0.a1,0,0,0,0,0,0
MSTRG.1017.4,0,25,6,0,48,0
Prupe.5G135900.2_v2.0.a1,0,0,0,0,0,0
Prupe.3G013200.2_v2.0.a1,74,100,157,158,21,135
Prupe.8G137700.2_v2.0.a1,0,0,0,0,0,0
Prupe.3G083800.1_v2.0.a1,0,0,0,0,0,0
Prupe.2G160100.4_v2.0.a1,3,1,1,1,1,1
MSTRG.20154.1,2,72,96,120,152,92
MSTRG.20154.2,0,52,0,0,0,0
Prupe.3G011000.2_v2.0.a1,373,315,362,320,199,234
Prupe.2G151500.1_v2.0.a1,12,4,15,7,5,7
Prupe.6G244800.6_v2.0.a1,0,0,0,0,0,0
Prupe.1G501100.1_v2.0.a1,6,10,4,15,3,12
Prupe.2G054300.1_v2.0.a1,9,3,13,4,12,3
Prupe.2G031800.1_v2.0.a1,0,450,0,438,0,350
Prupe.2G156300.2_v2.0.a1,628,763,686,754,455,665
MSTRG.2002.1,20,74,27,59,19,41
Prupe.6G335400.4_v2.0.a1,0,0,0,0,0,0
Prupe.7G258100.1_v2.0.a1,0,0,0,0,0,0
Prupe.2G248200.1_v2.0.a1,0,0,0,0,0,0
MSTRG.18184.2,20,17,19,24,15,19
Prupe.1G552600.1_v2.0.a1,0,0,0,0,0,0
MSTRG.3188.2,0,38,129,46,0,0
MSTRG.13816.1,56,172,74,201,51,79
Prupe.7G065400.1_v2.0.a1,20,11,24,12,23,10
Prupe.7G005500.1_v2.0.a1,0,0,0,0,0,0
Prupe.2G119600.1_v2.0.a1,0,0,0,0,0,0
MSTRG.15240.7,39,0,59,0,24,145
Prupe.1G493300.2_v2.0.a1,0,0,0,102,0,0
Prupe.1G582800.9_v2.0.a1,0,0,0,0,0,0
Prupe.1G407200.1_v2.0.a1,1,1,4,0,3,0
Prupe.7G077400.1_v2.0.a1,155,239,216,220,142,185
MSTRG.18904.2,94,100,283,211,181,161
Prupe.7G040100.1_v2.0.a1,0,0,0,4,0,2
MSTRG.18904.4,0,43,0,0,0,0
Prupe.4G265900.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G323300.2_v2.0.a1,0,0,0,0,0,0
Prupe.6G060300.1_v2.0.a1,13,308,11,295,17,260
Prupe.5G025300.2_v2.0.a1,0,0,0,0,0,0
Prupe.1G412400.6_v2.0.a1,0,0,0,0,0,0
Prupe.7G212500.2_v2.0.a1,11,1,18,18,49,0
Prupe.1G156000.2_v2.0.a1,144,116,483,293,188,15
Prupe.2G122400.3_v2.0.a1,57,98,24,0,119,0
MSTRG.4143.5,20,11,0,19,20,0
MSTRG.4143.4,0,0,25,0,121,0
Prupe.2G014600.1_v2.0.a1,23,7,20,11,26,7
Prupe.1G400400.1_v2.0.a1,0,0,0,0,4,0
MSTRG.4143.3,114,0,43,0,0,0
Prupe.6G106500.7_v2.0.a1,0,0,0,0,0,0
Prupe.2G057100.3_v2.0.a1,0,0,0,0,0,0
Prupe.1G431700.1_v2.0.a1,371,290,578,274,321,138
Prupe.1G586100.2_v2.0.a1,0,0,442,0,0,0
Prupe.4G061700.1_v2.0.a1,825,70,955,59,599,72
Prupe.6G232900.1_v2.0.a1,24,64,349,143,269,228
Prupe.3G040300.1_v2.0.a1,5,5,6,2,3,0
Prupe.6G035300.1_v2.0.a1,172,56,95,100,131,7
Prupe.1G559200.1_v2.0.a1,121,108,126,113,90,49
Prupe.8G036700.5_v2.0.a1,0,0,0,0,0,0
Prupe.2G197700.1_v2.0.a1,861,2638,798,2272,614,1629
MSTRG.336.1,650,471,446,428,152,587
Prupe.4G271100.1_v2.0.a1,169,215,210,238,149,157
Prupe.4G138300.1_v2.0.a1,0,0,0,0,0,0
Prupe.3G195700.3_v2.0.a1,0,0,0,0,0,0
Prupe.7G018800.5_v2.0.a1,207,0,0,0,0,446
Prupe.3G002600.1_v2.0.a1,139,83,119,91,70,79
Prupe.6G138200.6_v2.0.a1,0,0,0,0,0,0
Prupe.4G050100.1_v2.0.a1,0,0,0,0,0,0
MSTRG.17688.9,387,358,46,445,46,207
Prupe.3G170600.1_v2.0.a1,174,369,178,515,106,385
Prupe.6G059300.2_v2.0.a1,0,0,0,74,0,0
Prupe.3G249300.3_v2.0.a1,0,0,0,0,0,0
MSTRG.16206.6,11,0,0,17,115,0
Prupe.3G014900.2_v2.0.a1,0,0,0,0,0,0
MSTRG.15757.3,12,54,13,17,6,39
MSTRG.10001.3,94,0,0,1,0,403
Prupe.7G061300.1_v2.0.a1,213,210,186,176,97,129
Prupe.4G023600.2_v2.0.a1,25,31,25,1,20,0
Prupe.1G132800.1_v2.0.a1,632,390,677,349,426,227
MSTRG.15426.5,250,77,226,48,227,230
Prupe.6G103300.1_v2.0.a1,0,0,0,0,0,0
Prupe.3G181800.1_v2.0.a1,40,45,113,55,68,35
Prupe.4G150400.4_v2.0.a1,84,3,81,116,0,118
Prupe.3G001500.1_v2.0.a1,216,108,250,122,186,78
Prupe.1G361700.1_v2.0.a1,0,0,0,0,0,0
Prupe.7G257800.1_v2.0.a1,75,44,30,47,29,66
Prupe.6G092200.3_v2.0.a1,0,0,0,0,0,0
Prupe.5G207700.9_v2.0.a1,15,10,0,0,4,0
Prupe.7G074700.6_v2.0.a1,4,0,0,0,51,0
Prupe.1G530900.8_v2.0.a1,5,6,55,0,0,0
Prupe.5G180000.1_v2.0.a1,59,26,6,15,38,51
Prupe.8G086300.2_v2.0.a1,233,10,246,136,43,11
Prupe.1G059100.1_v2.0.a1,0,0,0,0,0,0
MSTRG.11576.10,80,36,0,106,43,26
Prupe.4G006700.1_v2.0.a1,80,37,70,37,52,31
Prupe.8G097200.3_v2.0.a1,0,0,7,38,6,13
Prupe.1G008300.6_v2.0.a1,185,0,376,0,236,0
MSTRG.9058.2,68,49,86,56,48,30
Prupe.8G110900.1_v2.0.a1,86,7,42,6,51,4
Prupe.1G317800.1_v2.0.a1,57,62,292,76,280,0
Prupe.4G265200.3_v2.0.a1,55,52,31,35,49,0
Prupe.8G261800.1_v2.0.a1,29,13,42,13,24,10
Prupe.4G193200.1_v2.0.a1,123,28,140,39,106,16
Prupe.5G071800.1_v2.0.a1,1,1,1,2,0,0
Prupe.8G017400.1_v2.0.a1,42,11,252,19,98,0
Prupe.3G204100.1_v2.0.a1,4,9772,0,8913,7,4799
MSTRG.9384.5,126,0,0,0,106,0
MSTRG.9384.4,186,54,217,80,89,0
Prupe.1G585000.1_v2.0.a1,0,187,317,234,72,0
Prupe.1G039100.1_v2.0.a1,6121,2837,6532,2882,5103,3163
Prupe.3G206000.1_v2.0.a1,2,136,0,0,0,77
Prupe.8G166800.2_v2.0.a1,0,0,0,0,0,0
Prupe.8G203000.1_v2.0.a1,2,0,0,2,3,0
Prupe.7G117700.2_v2.0.a1,14,40,33,25,58,0
MSTRG.4954.1,36,66,66,68,44,49
Prupe.1G016200.1_v2.0.a1,18,16,20,42,22,25
MSTRG.3366.2,544,42,54,100,206,269
Prupe.7G026500.3_v2.0.a1,0,15,29,12,17,10
Prupe.5G151800.1_v2.0.a1,0,0,0,0,0,0
Prupe.6G180900.8_v2.0.a1,0,0,0,1,0,0
Prupe.4G234500.1_v2.0.a1,16,20,24,18,18,13
Prupe.4G079500.2_v2.0.a1,143,0,0,8,0,0
Prupe.2G189600.18_v2.0.a1,11,0,0,0,0,0
Prupe.6G145200.1_v2.0.a1,0,0,0,0,0,0
Prupe.5G140100.1_v2.0.a1,298,1703,285,1456,242,1043
Prupe.6G188200.1_v2.0.a1,0,0,0,0,0,1
MSTRG.6996.3,10,69,9,0,0,0
MSTRG.8388.3,0,0,92,0,0,0
Prupe.4G222500.1_v2.0.a1,0,0,0,3,0,0
Prupe.8G101900.1_v2.0.a1,136,136,0,73,158,0
Prupe.1G113800.1_v2.0.a1,17,163,15,139,16,118
Prupe.6G192100.1_v2.0.a1,563,175,567,181,398,188
Prupe.3G116000.1_v2.0.a1,11,4,17,3,10,3
Prupe.5G170000.1_v2.0.a1,208,177,227,149,112,158
Prupe.5G049200.2_v2.0.a1,0,0,0,0,0,0
Prupe.1G022200.2_v2.0.a1,0,0,0,0,0,0
MSTRG.17691.1,1,53,0,59,1,62
Prupe.7G266000.2_v2.0.a1,50,0,6,0,0,4
MSTRG.17199.2,101,241,167,36,118,19
Prupe.1G215100.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G223500.3_v2.0.a1,0,0,0,0,0,0
MSTRG.7303.1,0,113,28,157,33,0
MSTRG.12030.2,125,85,0,0,817,0
MSTRG.10614.3,0,26,0,22,0,0
Prupe.8G023200.1_v2.0.a1,131,45,233,39,196,40
Prupe.3G129300.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G172400.1_v2.0.a1,6,14,8,18,0,20
Prupe.7G066100.9_v2.0.a1,0,0,0,0,0,0
MSTRG.19770.4,36,0,0,68,24,104
MSTRG.19770.5,49,183,70,120,4,61
Prupe.3G246400.1_v2.0.a1,12,0,0,0,20,0
Prupe.3G316000.21_v2.0.a1,0,0,0,0,0,0
Prupe.5G030000.2_v2.0.a1,928,705,1021,5,741,462
MSTRG.10626.2,164,95,174,191,173,28
Prupe.2G114500.1_v2.0.a1,0,0,0,0,0,0
MSTRG.19770.3,67,406,99,425,85,181
Prupe.1G383500.1_v2.0.a1,0,0,0,0,0,0
Prupe.5G065300.1_v2.0.a1,42,86,27,66,23,78
Prupe.2G182100.4_v2.0.a1,3,8,4,0,2,2
Prupe.1G198700.5_v2.0.a1,21,0,23,0,0,0
MSTRG.6786.6,55,0,0,0,143,0
MSTRG.6786.3,11,10,10,3,12,3
Prupe.7G185200.1_v2.0.a1,68,965,53,652,26,387
Prupe.1G340700.1_v2.0.a1,0,0,0,0,0,0
Prupe.7G073800.2_v2.0.a1,0,0,0,0,0,0
Prupe.1G145100.1_v2.0.a1,0,0,0,0,0,1
Prupe.6G258800.1_v2.0.a1,9,0,8,5,6,11
Prupe.8G142500.1_v2.0.a1,435,439,473,486,352,414
Prupe.6G251500.1_v2.0.a1,936,1116,1263,1133,910,690
Prupe.4G024700.1_v2.0.a1,507,248,475,250,400,204
Prupe.5G136500.1_v2.0.a1,0,0,0,6,0,0
Prupe.3G039300.1_v2.0.a1,1209,52,1488,109,829,42
Prupe.5G063600.1_v2.0.a1,0,0,0,0,0,0
Prupe.2G206000.2_v2.0.a1,0,0,3,0,2,0
MSTRG.7941.1,12,9,16,7,12,4
MSTRG.7313.1,146,180,81,36,150,55
Prupe.7G035100.2_v2.0.a1,56,52,54,48,35,52
Prupe.3G023200.1_v2.0.a1,318,70,261,68,232,45
MSTRG.10486.7,9,125,8,6,63,76
Prupe.8G138500.1_v2.0.a1,3,0,7,0,8,2
Prupe.6G225700.3_v2.0.a1,0,0,0,0,0,0
Prupe.8G065200.1_v2.0.a1,311,942,293,852,227,697
MSTRG.6946.2,0,0,30,0,0,6
Prupe.5G099500.1_v2.0.a1,9,1492,8,1251,7,1108
Prupe.1G432400.1_v2.0.a1,410,33,142,32,214,12
Prupe.6G302800.1_v2.0.a1,27,7,24,10,14,6
Prupe.8G051900.1_v2.0.a1,640,137,871,219,585,103
Prupe.1G483800.15_v2.0.a1,0,0,57,0,0,0
MSTRG.3937.3,0,0,0,207,8,0
MSTRG.3937.2,21,50,47,11,12,0
Prupe.1G433000.2_v2.0.a1,0,0,39,0,0,0
Prupe.2G117200.3_v2.0.a1,0,0,0,0,0,0
Prupe.2G009100.1_v2.0.a1,495,254,804,211,711,112
MSTRG.9097.1,63,91,19,82,89,113
MSTRG.5151.2,73,81,31,25,10,73
MSTRG.17492.3,150,1,116,1,97,0
Prupe.1G544200.4_v2.0.a1,0,0,0,0,0,0
Prupe.5G217300.2_v2.0.a1,0,0,64,0,0,0
MSTRG.17492.2,123,8,122,10,108,11
Prupe.6G163100.3_v2.0.a1,9,0,0,0,0,0
Prupe.7G220700.1_v2.0.a1,0,0,0,1,1,0
Prupe.5G246200.18_v2.0.a1,0,0,0,0,0,0
Prupe.8G136600.1_v2.0.a1,6,1,8,2,9,2
Prupe.5G193700.5_v2.0.a1,0,1,0,0,0,0
Prupe.5G033700.1_v2.0.a1,31,34,35,55,24,35
Prupe.2G147400.4_v2.0.a1,400,15,309,17,27,0
Prupe.5G102100.6_v2.0.a1,0,0,0,0,0,0
Prupe.7G066400.3_v2.0.a1,0,0,0,0,0,0
Prupe.2G088400.1_v2.0.a1,270,75,398,104,272,50
MSTRG.3755.1,854,609,1142,605,494,498
Prupe.1G104400.1_v2.0.a1,26,48,30,82,28,27
Prupe.1G531000.1_v2.0.a1,291,220,218,208,172,151
MSTRG.13440.2,0,116,1,113,1,64
