transcript_id,SRR5219267,SRR5219268,SRR5219269,SRR5219276,SRR5219277,SRR5219278
Pav_sc0000093.1_g160.1.mk,0,8,0,10,12,0
MSTRG.24752.1,603,666,0,1478,1321,997
Pav_sc0005842.1_g050.1.mk,0,0,0,0,0,0
Pav_sc0000667.1_g130.1.br,0,0,0,0,0,0
Pav_sc0004181.1_g020.1.mk,91,91,0,164,172,115
MSTRG.22509.4,138,112,0,0,0,0
Pav_sc0000716.1_g270.1.mk,2225,0,2393,16,3487,232
Pav_co4041533.1_g010.1.mk,0,0,0,0,0,0
Pav_sc0000752.1_g100.1.br,0,0,0,0,0,0
Pav_sc0006204.1_g010.1.br,4,2,0,8,2,0
Pav_sc0001987.1_g110.1.br,2,2,0,2,2,1
MSTRG.18752.1,289,388,262,189,246,155
Pav_sc0009964.1_g060.1.br,0,0,0,0,0,0
Pav_sc0001440.1_g110.1.br,12,5,0,9,7,4
MSTRG.11041.2,0,1001,2013,397,0,442
MSTRG.11041.1,1971,1497,497,1606,1667,917
Pav_sc0000051.1_g350.1.br,0,0,0,0,1,1
Pav_sc0002828.1_g700.1.mk,31,18,18,6,4,5
MSTRG.11041.4,423,388,236,781,231,167
Pav_sc0000254.1_g170.1.mk,3766,3559,4346,3450,4282,3155
Pav_sc0000396.1_g030.1.mk,0,0,0,0,0,0
Pav_sc0000480.1_g1160.1.br,0,0,0,0,0,2
Pav_sc0001196.1_g550.1.br,0,3,0,18,10,9
Pav_sc0000624.1_g140.1.mk,2,0,2,0,0,0
Pav_sc0000129.1_g1680.1.br,0,0,13,0,0,0
Pav_sc0000328.1_g050.1.br,0,0,0,0,0,0
Pav_sc0003618.1_g100.1.br,0,0,0,0,0,0
Pav_sc0000136.1_g030.1.mk,218,200,0,266,411,243
MSTRG.15240.1,152,183,187,153,193,150
MSTRG.3188.1,49,29,0,28,36,46
MSTRG.22509.1,246,181,0,146,225,104
Pav_sc0000675.1_g870.1.mk,0,0,0,0,0,0
MSTRG.9396.1,90,64,65,43,56,32
MSTRG.22509.2,0,121,0,0,0,0
MSTRG.12508.3,86,112,84,74,36,64
Pav_sc0000431.1_g100.1.br,0,1,0,0,0,0
MSTRG.3488.1,13,3,0,0,0,4
Pav_sc0000852.1_g1240.1.mk,137,96,127,139,140,85
Pav_sc0000095.1_g390.1.mk,38,38,37,24,26,27
Pav_sc0000395.1_g150.1.mk,21,0,16,22,31,11
Pav_sc0010173.1_g010.1.br,0,0,0,0,0,0
Pav_sc0001411.1_g050.1.br,0,0,0,0,0,0
Pav_sc0000600.1_g660.1.br,0,0,0,0,0,0
MSTRG.13284.2,0,0,0,0,209,0
MSTRG.13284.1,24,29,397,162,38,78
MSTRG.8388.1,852,1064,1109,728,761,1489
MSTRG.8388.2,737,287,279,575,63,24
MSTRG.8388.4,0,0,0,0,671,0
MSTRG.8388.5,62,28,48,424,39,0
Pav_sc0000355.1_g200.1.br,0,1,0,0,0,0
Pav_sc0004066.1_g040.1.br,8,3,0,17,2,0
Pav_sc0006361.1_g010.1.mk,3,6,0,5,3,0
Pav_sc0000150.1_g250.1.br,0,0,0,0,0,0
Pav_sc0005775.1_g030.1.br,17,27,0,8,24,6
Pav_sc0000617.1_g440.1.mk,1733,1953,2214,1716,2141,1502
Pav_sc0001974.1_g030.1.mk,0,0,0,0,0,0
Pav_sc0000787.1_g070.1.br,0,0,0,0,0,0
Pav_sc0002992.1_g010.1.mk,91,117,0,48,103,80
MSTRG.2080.5,0,238,0,0,20,73
Pav_sc0001196.1_g2320.1.br,0,0,0,0,0,0
Pav_sc0000207.1_g110.1.br,0,0,0,0,0,0
Pav_sc0002136.1_g040.1.mk,39,44,51,44,46,51
Pav_sc0001181.1_g290.1.br,0,0,0,0,0,0
MSTRG.23895.1,46413,43118,0,12696,13884,14377
MSTRG.17492.1,2779,2399,2839,3033,3497,2901
MSTRG.23133.5,119,153,0,67,73,48
Pav_sc0000410.1_g650.1.mk,22,41,34,66,70,38
Pav_co4044065.1_g010.1.mk,120,113,0,65,41,90
Pav_sc0001268.1_g060.1.br,0,0,0,0,0,0
MSTRG.18103.3,43,66,92,171,74,164
MSTRG.18103.2,494,335,417,926,242,84
MSTRG.17747.2,124,91,128,40,217,104
MSTRG.24787.1,149,162,0,157,161,173
Pav_sc0003002.1_g070.1.br,0,0,0,4,3,0
Pav_sc0000183.1_g330.1.br,0,0,0,0,0,0
Pav_sc0000652.1_g1220.1.mk,683,444,700,511,501,536
Pav_sc0001110.1_g190.1.mk,145,54,423,409,82,88
Pav_sc0000038.1_g320.1.mk,4,0,0,2,1,0
Pav_sc0000174.1_g1350.1.mk,0,0,0,0,0,0
Pav_sc0000016.1_g030.1.br,0,0,0,0,0,0
Pav_sc0001073.1_g260.1.mk,169,132,147,0,117,122
MSTRG.2340.1,33,73,0,77,54,84
MSTRG.18082.1,83,89,217,12,87,39
MSTRG.8897.2,275,239,233,176,368,11
Pav_sc0000042.1_g550.1.mk,0,0,0,0,0,0
MSTRG.23015.3,0,0,0,505,0,230
Pav_sc0000700.1_g450.1.mk,1917,1283,1959,2461,2365,1995
Pav_sc0001471.1_g070.1.br,0,0,0,0,0,0
Pav_sc0000599.1_g050.1.mk,12,3,4,11,0,4
Pav_sc0002475.1_g330.1.br,11,21,0,18,20,6
