transcript_id,D7-1,D7-2,D7-3,T3-1,T3-2,T3-3
Prupe.2G003500.1_v2.0.a1,0,1,0,0,0,0
Prupe.6G168600.8_v2.0.a1,0,0,0,0,0,0
Prupe.1G068900.1_v2.0.a1,1,0,13,29,0,0
Prupe.3G187500.8_v2.0.a1,9,0,0,3,0,0
Prupe.6G316500.4_v2.0.a1,287,35,0,0,220,0
Prupe.8G189100.2_v2.0.a1,222,171,124,0,0,14
Prupe.4G233900.1_v2.0.a1,0,15,6,0,0,0
Prupe.2G194000.1_v2.0.a1,15,18,4,15,17,0
Prupe.3G173900.2_v2.0.a1,13,5,2,37,48,7
Prupe.7G259900.1_v2.0.a1,7,4,3,16,18,14
Prupe.1G013800.1_v2.0.a1,119,26,66,231,268,134
Prupe.1G479500.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G101200.1_v2.0.a1,181,128,106,368,431,199
Prupe.1G234000.3_v2.0.a1,94,257,0,748,317,181
Prupe.5G165800.3_v2.0.a1,151,27,0,1748,1892,952
Prupe.1G518400.2_v2.0.a1,8,9,9,15,59,21
Prupe.3G105400.1_v2.0.a1,0,0,0,0,0,0
Prupe.2G079100.1_v2.0.a1,0,0,0,4,4,0
Prupe.2G028400.1_v2.0.a1,478,303,305,795,950,342
Prupe.1G100000.4_v2.0.a1,0,0,41,0,61,0
Prupe.1G547200.10_v2.0.a1,0,0,0,0,36,0
Prupe.2G065000.1_v2.0.a1,0,0,0,0,0,0
Prupe.8G052000.3_v2.0.a1,12,0,0,86,66,0
Prupe.2G003800.2_v2.0.a1,249,137,86,281,405,77
Prupe.1G238500.1_v2.0.a1,608,436,486,425,525,227
Prupe.2G231600.8_v2.0.a1,0,0,0,0,160,0
Prupe.1G347400.4_v2.0.a1,0,1,3,0,121,27
Prupe.2G265500.11_v2.0.a1,0,0,0,0,0,0
Prupe.7G160200.1_v2.0.a1,0,0,0,0,0,0
Prupe.5G115100.1_v2.0.a1,1570,943,982,3053,2935,1584
Prupe.1G058400.1_v2.0.a1,178,119,149,23,26,18
Prupe.2G040100.1_v2.0.a1,377,205,239,1083,1170,527
Prupe.3G157000.1_v2.0.a1,0,0,0,0,169,0
Prupe.1G105300.1_v2.0.a1,32,89,0,18,38,20
Prupe.5G158500.1_v2.0.a1,590,321,298,156,76,57
Prupe.3G094500.2_v2.0.a1,32,8,33,8,22,47
Prupe.3G003900.2_v2.0.a1,1114,697,809,1015,913,693
Prupe.5G088700.1_v2.0.a1,0,0,0,69,75,47
Prupe.2G189600.20_v2.0.a1,0,0,0,0,26,0
Prupe.3G106900.1_v2.0.a1,1619,970,1071,1148,1338,553
Prupe.4G091800.1_v2.0.a1,2915,1653,1606,2869,3771,1452
MSTRG.8388.1,125,64,61,260,174,55
MSTRG.5781.4,965,497,576,1924,2111,1094
Prupe.1G571800.1_v2.0.a1,0,0,0,0,0,0
MSTRG.5781.3,0,0,33,0,23,54
Prupe.5G009200.10_v2.0.a1,0,1,0,0,0,0
Prupe.8G207500.2_v2.0.a1,0,0,0,0,0,0
Prupe.2G210800.1_v2.0.a1,2,3,0,4,2,2
Prupe.5G171700.2_v2.0.a1,366,240,270,1973,2188,933
Prupe.6G216500.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G374400.1_v2.0.a1,3821,2276,2375,669,876,357
Prupe.3G077800.3_v2.0.a1,0,0,0,0,12,0
Prupe.6G304400.2_v2.0.a1,106,64,0,65,92,42
Prupe.6G223100.1_v2.0.a1,1294,859,825,1276,1358,638
Prupe.6G225600.2_v2.0.a1,366,136,175,174,403,122
Prupe.6G050400.1_v2.0.a1,10,0,0,7,21,6
