Prupe.I003300.1.p	Pav_sc0006468.1_g010.1.br
Prupe.I000100.1.p	Pav_sc0000824.1_g080.1.mk
Prupe.I004700.1.p	Pav_sc0004181.1_g060.1.mk
Prupe.I003600.1.p	Pav_sc0001196.1_g1180.1.br
Prupe.I001200.1.p	Pav_sc0000467.1_g110.1.mk
Prupe.2G250000.1.p	Pav_sc0000143.1_g590.1.mk
Prupe.2G246400.1.p	Pav_sc0002574.1_g080.1.mk
Prupe.2G140600.1.p	Pav_sc0000631.1_g130.1.mk
Prupe.2G119400.2.p	Pav_sc0001059.1_g490.1.mk
Prupe.2G012300.2.p	Pav_sc0003708.1_g070.1.mk
Prupe.2G257100.1.p	Pav_sc0000057.1_g010.1.mk
Prupe.2G164100.3.p	Pav_sc0000675.1_g290.1.mk
Prupe.2G183900.1.p	Pav_sc0000254.1_g180.1.mk
Prupe.2G200500.1.p	Pav_sc0001046.1_g480.1.mk
Prupe.2G239600.1.p	Pav_sc0000554.1_g400.1.mk
Prupe.2G243000.1.p	Pav_sc0000554.1_g100.1.mk
Prupe.2G209000.1.p	Pav_sc0002968.1_g180.1.mk
Prupe.2G314900.2.p	Pav_sc0000138.1_g1040.1.mk
Prupe.2G312600.1.p	Pav_sc0000138.1_g1220.1.mk
Prupe.2G171200.1.p	Pav_sc0000102.1_g320.1.mk
Prupe.2G259600.1.p	Pav_sc0001205.1_g210.1.mk
Prupe.2G288500.1.p	Pav_sc0001405.1_g410.1.mk
Prupe.2G283500.1.p	Pav_sc0010831.1_g010.1.mk
Prupe.2G200400.1.p	Pav_sc0001046.1_g470.1.mk
Prupe.2G127500.1.p	Pav_sc0002118.1_g080.1.mk
Prupe.2G242700.1.p	Pav_sc0000554.1_g130.1.mk
Prupe.2G053200.1.p	Pav_sc0002060.1_g030.1.br
Prupe.2G123400.1.p	Pav_sc0000038.1_g330.1.mk
Prupe.2G187200.1.p	Pav_sc0000591.1_g310.1.mk
Prupe.2G210300.1.p	Pav_sc0000084.1_g800.1.mk
Prupe.2G324200.1.p	Pav_sc0000138.1_g080.1.mk
Prupe.2G134700.3.p	Pav_sc0000120.1_g160.1.mk
Prupe.2G270700.1.p	Pav_sc0001576.1_g230.1.mk
Prupe.2G269600.1.p	Pav_sc0001576.1_g150.1.mk
Prupe.2G025400.1.p	Pav_sc0002282.1_g070.1.br
Prupe.2G154900.2.p	Pav_sc0001673.1_g040.1.mk
Prupe.2G099100.2.p	Pav_sc0000663.1_g240.1.mk
Prupe.2G316000.1.p	Pav_sc0000138.1_g940.1.mk
